date,symbol,open,high,low,close,volume,lppl_signal,signal_strength,position_reason,action,target_position,param_source
2025-04-30,000001.SH,3284.08,3292.2,3277.55,3279.03,435794335.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-06,000001.SH,3295.25,3316.45,3286.99,3316.11,474369617.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-07,000001.SH,3354.97,3356.69,3324.81,3342.67,511159606.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-08,000001.SH,3331.21,3359.73,3327.9,3352.0,428377766.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-09,000001.SH,3350.41,3351.22,3335.13,3342.0,398909191.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-12,000001.SH,3352.97,3372.47,3344.27,3369.24,418239910.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-13,000001.SH,3386.23,3386.23,3370.25,3374.87,426240700.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-14,000001.SH,3374.24,3417.31,3368.08,3403.95,464934441.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-15,000001.SH,3398.43,3402.87,3378.02,3380.82,424100916.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-16,000001.SH,3374.71,3380.29,3356.66,3367.46,395401030.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-19,000001.SH,3365.88,3373.6,3356.65,3367.58,403074805.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-20,000001.SH,3371.69,3387.8,3369.96,3380.48,405544534.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-21,000001.SH,3380.21,3394.75,3380.21,3387.57,412496165.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-22,000001.SH,3381.87,3390.59,3376.23,3380.19,394217206.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-23,000001.SH,3376.87,3389.47,3348.37,3348.37,400227004.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-26,000001.SH,3346.56,3362.31,3336.36,3346.84,347562101.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-27,000001.SH,3346.5,3351.57,3332.49,3340.69,344071157.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-28,000001.SH,3341.85,3348.23,3336.73,3339.93,341555443.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-29,000001.SH,3340.4,3368.63,3337.42,3363.45,393233806.0,none,0.0,无信号,hold,0.0,default_cli
2025-05-30,000001.SH,3358.81,3361.28,3341.65,3347.49,385602170.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-03,000001.SH,3340.07,3367.0,3340.07,3361.98,398060772.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-04,000001.SH,3363.39,3379.64,3363.39,3376.2,386494643.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-05,000001.SH,3378.22,3387.76,3371.15,3384.1,406252093.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-06,000001.SH,3384.29,3391.45,3379.76,3385.36,380122886.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-09,000001.SH,3388.78,3402.05,3383.07,3399.77,427347947.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-10,000001.SH,3402.01,3406.45,3365.67,3384.82,481618568.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-11,000001.SH,3385.46,3413.51,3385.46,3402.32,424090313.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-12,000001.SH,3397.97,3408.2,3388.87,3402.66,409490610.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-13,000001.SH,3397.48,3401.55,3370.59,3377.0,510065221.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-16,000001.SH,3369.37,3389.76,3368.88,3388.73,405383278.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-17,000001.SH,3388.18,3393.31,3376.42,3387.4,390012447.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-18,000001.SH,3386.14,3391.71,3369.99,3388.81,378684891.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-19,000001.SH,3384.29,3386.92,3353.94,3362.11,415327655.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-20,000001.SH,3358.91,3370.8,3357.71,3359.9,350223662.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-23,000001.SH,3349.46,3389.45,3347.65,3381.58,384561397.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-24,000001.SH,3380.08,3423.78,3380.08,3420.57,460963800.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-25,000001.SH,3419.09,3459.01,3417.41,3455.97,509384064.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-26,000001.SH,3451.72,3462.75,3446.19,3448.45,496541077.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-27,000001.SH,3450.69,3462.63,3421.04,3424.23,523129432.0,none,0.0,无信号,hold,0.0,default_cli
2025-06-30,000001.SH,3423.47,3447.46,3420.11,3444.43,457348049.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-01,000001.SH,3445.85,3459.59,3441.04,3457.75,444356739.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-02,000001.SH,3458.17,3461.33,3447.96,3454.79,498116776.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-03,000001.SH,3456.15,3463.62,3446.97,3461.15,438543465.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-04,000001.SH,3459.59,3497.22,3455.49,3472.32,500195210.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-07,000001.SH,3467.98,3474.8,3462.79,3473.13,436631340.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-08,000001.SH,3474.63,3499.89,3474.63,3497.48,493484773.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-09,000001.SH,3498.72,3512.67,3491.2,3493.05,523920088.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-10,000001.SH,3491.5,3526.59,3491.5,3509.68,564159805.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-11,000001.SH,3511.37,3555.22,3506.8,3510.18,664185249.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-14,000001.SH,3513.25,3532.12,3513.25,3519.65,572084705.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-15,000001.SH,3519.81,3527.04,3483.38,3505.0,572074726.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-16,000001.SH,3502.9,3511.81,3489.14,3503.78,470878578.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-17,000001.SH,3500.37,3517.28,3499.19,3516.83,472211056.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-18,000001.SH,3519.48,3536.01,3518.23,3534.48,493484088.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-21,000001.SH,3542.82,3560.63,3542.57,3559.79,633649736.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-22,000001.SH,3561.63,3584.72,3547.25,3581.86,716155230.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-23,000001.SH,3588.88,3613.02,3577.59,3582.3,767672388.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-24,000001.SH,3578.91,3608.73,3577.11,3605.73,773265835.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-25,000001.SH,3604.45,3610.03,3586.22,3593.66,697189549.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-28,000001.SH,3594.23,3606.27,3582.15,3597.94,594187877.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-29,000001.SH,3595.81,3611.35,3585.94,3609.71,610642058.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-30,000001.SH,3608.35,3636.17,3593.73,3615.72,637221916.0,none,0.0,无信号,hold,0.0,default_cli
2025-07-31,000001.SH,3604.7,3606.37,3562.61,3573.21,654509349.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-01,000001.SH,3568.26,3581.75,3550.04,3559.95,509563080.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-04,000001.SH,3547.16,3583.31,3547.16,3583.31,458573618.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-05,000001.SH,3588.81,3617.6,3586.97,3617.6,499797780.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-06,000001.SH,3615.81,3634.31,3613.99,3633.99,512467273.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-07,000001.SH,3637.78,3645.12,3622.52,3639.67,535501202.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-08,000001.SH,3634.85,3645.37,3625.45,3635.13,526407572.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-11,000001.SH,3637.05,3656.85,3629.63,3647.55,551393348.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-12,000001.SH,3647.96,3669.04,3647.96,3665.92,536623739.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-13,000001.SH,3668.66,3688.63,3666.55,3683.46,613528884.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-14,000001.SH,3685.52,3704.77,3662.57,3666.44,647829587.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-15,000001.SH,3659.81,3702.26,3658.38,3696.77,678521703.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-18,000001.SH,3712.5,3745.94,3702.38,3728.03,776016669.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-19,000001.SH,3728.49,3746.67,3718.15,3727.29,696099750.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-20,000001.SH,3716.68,3767.43,3704.99,3766.21,679836426.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-21,000001.SH,3770.68,3787.98,3757.99,3771.1,691552959.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-22,000001.SH,3772.28,3825.76,3772.28,3825.76,698136277.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-25,000001.SH,3848.16,3883.56,3839.97,3883.56,885474802.0,none,0.0,无信号,hold,0.0,default_cli
2025-08-26,000001.SH,3871.47,3888.6,3859.76,3868.38,734565305.0,negative_bubble,0.7071817862802611,强抄底信号 (Strong Buy),buy,1.0,default_cli
2025-08-27,000001.SH,3869.61,3887.2,3800.35,3800.35,858633499.0,negative_bubble,0.7041471349881191,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-08-28,000001.SH,3796.71,3845.09,3761.42,3843.6,788351947.0,negative_bubble,0.7029370999969321,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-08-29,000001.SH,3842.82,3867.61,3839.21,3857.93,739462366.0,negative_bubble,0.7013190642876748,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-01,000001.SH,3869.75,3879.05,3853.66,3875.53,747709536.0,negative_bubble,0.6999641459633357,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-02,000001.SH,3877.09,3885.31,3828.68,3858.13,762618833.0,negative_bubble,0.699285469373179,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-03,000001.SH,3865.29,3868.39,3794.88,3813.56,645668510.0,negative_bubble,0.698460794526763,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-04,000001.SH,3807.76,3808.4,3732.84,3765.88,710227933.0,negative_bubble,0.6985655676629692,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-05,000001.SH,3761.88,3817.16,3745.31,3812.51,626223380.0,negative_bubble,0.6987505147854471,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-08,000001.SH,3811.67,3833.14,3803.6,3826.84,660066898.0,negative_bubble,0.6988024372910704,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-09,000001.SH,3816.66,3834.67,3791.72,3807.29,600239380.0,negative_bubble,0.6990491220988746,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-10,000001.SH,3806.58,3827.0,3794.06,3812.22,534539825.0,negative_bubble,0.641123870996817,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-11,000001.SH,3806.06,3875.31,3796.43,3875.31,617012930.0,negative_bubble,0.645552647126357,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-12,000001.SH,3875.51,3892.74,3866.54,3870.6,700641784.0,negative_bubble,0.6487145326861619,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-15,000001.SH,3876.1,3879.74,3855.97,3860.5,644793944.0,negative_bubble,0.6512488508049359,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-16,000001.SH,3865.98,3876.69,3838.65,3861.87,673439723.0,negative_bubble,0.6517721925505915,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-17,000001.SH,3854.07,3882.67,3848.95,3876.34,663434713.0,negative_bubble,0.6511069813647676,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-18,000001.SH,3876.06,3899.96,3801.0,3831.66,876027389.0,negative_bubble,0.6499153381947486,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-19,000001.SH,3830.44,3843.17,3811.9,3820.09,682292613.0,negative_bubble,0.5803504398915272,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-22,000001.SH,3822.01,3831.74,3806.2,3828.58,568325686.0,negative_bubble,0.5842758923232194,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-23,000001.SH,3830.14,3838.61,3774.53,3821.83,701902868.0,negative_bubble,0.5881037936469973,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-24,000001.SH,3804.48,3854.92,3804.33,3853.64,602056670.0,negative_bubble,0.5913125387510653,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-25,000001.SH,3852.43,3866.11,3840.46,3853.3,589950531.0,negative_bubble,0.721779332364169,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-26,000001.SH,3839.86,3856.61,3828.11,3828.11,551275335.0,negative_bubble,0.7255738580384522,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-29,000001.SH,3828.17,3881.0,3809.54,3862.53,608466399.0,negative_bubble,0.7281269268719951,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-09-30,000001.SH,3869.7,3887.57,3866.28,3882.78,569734631.0,negative_bubble,0.7296485903848111,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-09,000001.SH,3898.31,3936.58,3885.74,3933.97,725218501.0,negative_bubble,0.7298179702833549,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-10,000001.SH,3915.48,3933.01,3886.31,3897.03,718917673.0,negative_bubble,0.7262180433969017,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-13,000001.SH,3800.11,3895.83,3800.11,3889.5,709506101.0,negative_bubble,0.5970376340790091,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-14,000001.SH,3910.78,3918.44,3851.12,3865.23,800839631.0,negative_bubble,0.5982737477725095,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-15,000001.SH,3867.54,3912.29,3857.67,3912.21,645012955.0,negative_bubble,0.6006187544675243,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-16,000001.SH,3900.68,3931.05,3899.17,3916.23,595451491.0,negative_bubble,0.6018287001734808,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-17,000001.SH,3912.04,3921.06,3835.36,3839.76,617563018.0,negative_bubble,0.6026614280048496,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-20,000001.SH,3865.55,3877.72,3850.37,3863.89,549261712.0,negative_bubble,0.6064442425560322,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-21,000001.SH,3870.75,3919.32,3868.15,3916.33,599415713.0,negative_bubble,0.6095866114785627,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-22,000001.SH,3896.07,3918.59,3893.33,3913.76,543117344.0,negative_bubble,0.6100767665893676,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-23,000001.SH,3904.16,3926.22,3877.53,3922.41,565189264.0,negative_bubble,0.6118939364592272,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-24,000001.SH,3929.12,3950.31,3928.96,3950.31,567858443.0,negative_bubble,0.6114944880676864,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-27,000001.SH,3969.22,3999.07,3963.1,3996.94,637589545.0,negative_bubble,0.6131158854097996,强抄底信号 (Strong Buy),hold,1.0,default_cli
2025-10-28,000001.SH,3986.89,4010.73,3976.83,3988.22,577357684.0,none,0.0,无信号,hold,1.0,default_cli
